#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
拷	칠 고(생각(考) 말안하면 친다(扌))	ごう 拷問（ごうもん）ー고문 酷い拷問を受ける（ひどいごうもんをうける）ー모진 고문을 당하다 白状を強いて拷問する（はくじょうをしいてごうもんする）ー자백을 강요하여 고문하다 拷問で苦しめる（ごうもんでくるしめる）ー고문으로 고통을 주다		늙을 로(老) / 생각할 고(考) / 칠 고(拷)
酵	삭힐 효(좋은 술(酒)을 삭혀 효도(孝)한다)	こう 酵素（こうそ）ー효소 消化酵素が分泌される（しょうかこうそがぶんぴされる）ー소화 효소가 분비되다 発酵（はっこう）ー발효 酵母の発酵作用 （こうぼのはっこうさよう）ー효모의 발효 작용		효도 효(孝) / 가르칠 교(教) / 삭힐 효(酵)
瞳	눈동자 동(아이(童)는 작아서 눈(目)동자만 보임)	どう 瞳孔（どうこう）ー동공 瞳孔膜（どうこうまく）ー동공막 瞳孔反射（どうこうはんしゃ）ー동공반사 瞳孔が拡大する（どうこうがかくだいする）ー동공이 확대 되다	ひとみ瞳（ひとみ）ー눈동자	아이 동(童) / 동경할 동(憧) / 눈동자 동(瞳) / 종 종(鐘)
鐘	종 종(아이(童)처럼 시끄러운 금(金))	しょう 半鐘（はんしょう）ー반종,경종 警鐘（けいしょう）ー경종 警鐘を鳴らす（けいしょうをならす）ー경종을 울리다 暁鐘（ぎょうしょう）ー효종 (새벽에 치는 종)	かね 鐘（かね）ー종 鐘がゴンとなる（かねがゴンとなる）ー종소리가 뎅하고 울리다	아이 동(童) / 동경할 동(憧) / 눈동자 동(瞳) / 종 종(鐘)
序	차례/순서 서(집안(广)일할때는 미리(予)차례를 정해서 해야함)	じょ 順序（じゅんじょ）ー순서 順序立てる（じゅんじょだてる）ー순서를 정하다 秩序（ちつじょ）ー질서 社会の秩序を紊乱する（しゃかいのちつじょをびんらんする）ー사회 질서를 문란하게 하다 無秩序（むちつじょ）ー무질서 序詞（じょし）ー서사 序列（じょれつ）ー서열 序列をつける（じょれつをつける）ー서열을 매기다 序論（じょろん）ー서론 序幕（じょまく）ー서막		미리 예(予) / 차례(순서) 서(序) / 맡길 예(預)
遜	겸손할 손(손자(孫)는 밖을 갈때(辶)사람들한테 겸손함)	そん  謙遜（けんそん）ー겸손  謙遜語（けんそんご）ー겸양어 遜色（そんしょく）ー손색 専門家の作品と比べても遜色がない（せんもんかのさくひんとくらべてもそんしょくがない）ー전문가의 작품과 비교해도 손색없다  不遜（ふそん）ー불손 不遜な態度（ふそんなたいど）ー불손한 태도	遜る（へりくだる）ー겸양하다,자신을 낮추다 遜った態度（へりくだったたいど）ー겸손한 태도	손자 손(孫) / 겸손할 손(遜)
叔	아저씨 숙(아저씨 숙(尗) 오른팔(又))	しゅく 叔父（おじ,しゅくふ）ー숙부		아저씨 숙(叔) / 맑을 숙(淑) / 고요할 적(寂) / 감독할 독(督)
淑	맑을 숙(젊어지고싶어 맑은물(氵)만먹는 아저씨(叔))	しゅく 貞淑（ていしゅく）ー정숙 貞淑な妻（ていしゅくなつま）ー정숙한 아내  淑女（しゅくじょ）ー숙녀  紳士淑女（しんししゅくじょ）ー신사 숙녀		아저씨 숙(叔) / 맑을 숙(淑) / 고요할 적(寂) / 감독할 독(督)
寂	고요할 적(혼자 집(宀)에있는 아저씨(叔)는 고요하고 적적)	じゃく 寂々（じゃくじゃく）ー적적 閑寂（かんじゃく）ー한적 閑寂を楽しむ（かんじゃくをたのしむ）ー한적함을 즐기다 静寂（せいじゃく）ー정숙 (정적) せき 寂寞（せきばく）ー적막	寂しい（さびしい）ー쓸쓸하다 寂しさ（さびしさ）ー쓸쓸함, 적적함寂れる（さびれる）ー쇠퇴하다, 쓸쓸해지다	아저씨 숙(叔) / 맑을 숙(淑) / 고요할 적(寂) / 감독할 독(督)
督	감독할 독(코치인 아저씨(叔)가 눈(目)으로 감독함)	とく 監督（かんとく）ー감독 監督官（かんとくかん）ー감독관 督促（とくそく）ー독촉 督促状（とくそくじょう）ー독촉장 督励（とくれい）－독려 みんなを督励して仕事を急がせる（みんなをとくれいしてしごとをいそがせる）ー모두를 독려하여 일을 서두르게 하다		아저씨 숙(叔) / 맑을 숙(淑) / 고요할 적(寂) / 감독할 독(督)
