#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
措	둘 조(옛날(昔)부터 내려오는 좋은 제도는 손(扌)대지 않고 두는것이 좋음)	そ 措置（そち）ー조치 予防措置（よぼうそち）ー예방조치 廃止措置（はいしそち）ー폐지조치 特段の措置（とくだんのそち）ー특단의 조치 緊急措置（きんきゅうそち）ー긴급조치 法的な措置を取る（ほうてきなそちをとる）ー법적 조치를 취하다		옛 석(昔) / 빌릴 차(借) / 아낄 석(惜) / 둘 조(措) / 어긋날 착(錯) / 문서 적(籍)
錯	어긋날 착(오래된(昔) 쇠(金)는 사용할때 어긋남)	さく 錯覚（さっかく）ー착각 愛されていると錯覚する（あいされているとさっかくする）ー자기를 좋아한다고 착각하다  錯誤（さくご）ー착오 試行錯誤（しこうさくご）ー시행착오 倒錯（とうさく）ー도착 (정신이 비도덕적) 性的倒錯（せいてきとうさく）ー성적도착 錯乱（さくらん）ー착란 精神錯乱（せいしんさくらん）ー정신착란 交錯（こうさく）ー교착		옛 석(昔) / 빌릴 차(借) / 아낄 석(惜) / 둘 조(措) / 어긋날 착(錯) / 문서 적(籍)
散	흩어질 산(풀(艹)이 모여있는 땅(一)에 몸(月)을 다이빙해 부딪혀(攵) 흩어지게함)	さん 散歩（さんぽ）ー산책 (산보) 解散（かいさん）ー해산 分散（ぶんさん）ー분산 分散投資（ぶんさんとうし）ー분산 투자 拡散（かくさん）ー확산 閑散（かんさん）ー한산 胡散（うさん）ー수상함 胡散臭い（うさんくさい）ー어쩐지 수상쩍다 得体の知れぬ胡散臭い人物（えたいのしれぬうさんくさいじんぶつ）ー정체를 알 수 없는 수상한 인물 散々（さんざん）ー호되게, 지독하게 発散（はっさん）ー발산 散髪（さんぱつ）ー흐트러진 머리 (산발) 散漫（さんまん）ー산만 注意力散漫（ちゅういりょくさんまん）ー주의력 산만 散弾銃（さんだんじゅう）ー산탄총 散文（さんぶん）ー산문	散る（ちる）ー꽃잎이 지다, 흩어지다 外が騒がしくて気が散る（そとがさわがしくてきがちる）ー밖이 소란해서 정신이 헷갈린다 散らす（ちらす）ー흩뜨리다, 어지르다 腫れを散らす（はれをちらす）ー부기를 가라앉히다 散らかす（ちらかす）ー흩뜨리다, 어지르다 部屋の中を散らかす（へやのなかをちらかす）ー방안을 흐트러뜨리다 散らかる（ちらかる）ー흩어지다, 어지러지다	정사 정(政) / 고칠 개(改) / 낱 매(枚) / 패할 패(敗) / 격할 격(激) / 흩어질 산(散) / 열 계(啓)
籍	문서 적(쟁기질(耒) 하는 옛(昔)방법이 책(𥫗) 문서로 되어있음)	せき 戸籍（こせき）ー호적 戸籍調査（こせきちょうさ）ー호적조사 本籍（ほんせき）ー본적 書籍（しょせき）ー서적 国籍（こくせき）ー국적 多国籍（たこくせき）ー다국적 二重国籍（にじゅうこくせき）ー이중국적 本籍（ほんせき）ー본적 在籍（ざいせき）ー재적 職員約40人が在籍している（しょくいんやく40にんがざいせきしている）ー직원 약40명이 재적하고 있다		옛 석(昔) / 빌릴 차(借) / 아낄 석(惜) / 둘 조(措) / 어긋날 착(錯) / 문서 적(籍)
先	먼저 선(먼저 태어난(生) 사람(儿))	せん 先生（せんせい）ー선생 先輩（せんぱい）ー선배 先祖（せんぞ）ー선조, 조상 先頭（せんとう）ー선두 先行（せんこう）ー선행 先方（せんぽう）ー상대방 優先（ゆうせん）ー우선 率先（そっせん）ー솔선 先見（せんけん）ー선견 先見の明（せんけんのめい）ー선견지명	さき 先に（さきに）ー먼저 先立つ（さきだつ）ー앞장서다, 앞서다	먼저 선(先) / 씻을 세(洗)
洗	씻을 세(먼저(先) 씻음(氵))	せん 洗濯（せんたく）ー세탁 洗濯物がまだ生乾きだ（せんたくものがまだなまがわきだ）ー빨래가 아직 덜 말랐다 洗剤（せんざい）ー세제 合成洗剤（ごうせいせんざい）ー합성세제 洗面（せんめん）ー세면 洗面所（せんめんじょ）ー세면소 洗顔（せんがん）ー세안 洗脳（せんのう）ー세뇌 洗練（せんれん）ー세련 洗浄（せんじょう）ー세정	洗う（あらう）ー씻다 手を洗うのも邪魔臭い（てをあらうのもじゃまくさい）ー손씻는것도 귀찮다 お手洗い（おてあらい）ー화장실	먼저 선(先) / 씻을 세(洗)
光	빛 광(사람(儿)이 횟불(火)을 들고있는 모습)	こう 光景（こうけい）ー광경 日光（にっこう）ー일광, 햇볕 光線（こうせん）ー광선 蛍光灯（けいこうとう）ー형광등 光熱費（こうねつひ）ー광열비 光沢（こうたく）ー광택 夜光（やこう）ー야광 栄光（えいこう）ー영광 光度（こうど）ー광도 観光（かんこう）ー관광 観光客（かんこうきゃく）ー관광객 観光客の目を奪う絶景（かんこうきゃくのめをうばうぜっけい）ー관광객의 눈길을 끄는 절경	光る（ひかる）ー빛나다 雨に濡れて光る道 （あめにぬれてひかるほどう）ー비에 젖어서 번들거리는 포장도로 光（ひかり）ー빛	
早	이를 조(해(日)가 십분(十) 일찍 뜸)	そう 早朝（そうちょう）ー조조 早朝割引（そうちょうわりびき）ー조조 할인 早急（そうきゅう）ー조급함 早退（そうたい）ー조퇴 風邪で早退する（かぜでそうたいする）ー감기로 조퇴하다 早春（そうしゅん）ー초봄 早出（そうしゅつ）ー조출 早漏（そうろう）ー조루 時期尚早（じきしょうそう）ー시기상조 (아직 때가 아님) さっ 早速（さっそく）ー곧, 즉시 早急（さっきゅう、そうきゅう）ー조급함	早い（はやい）ー이르다, 빠르다 早口（はやくち）ー말이 빠름 素早い（すばやい）ー재빠르다 早まる（はやまる）ー빨라지다 早める（はやめる）ー앞당기다 早めに（はやめに）ー서둘러, 일찌감치	이를 조(早) / 풀 초(草)
草	풀 초(잡초 풀(艹)은 꽃과 열매보다 일찍(早) 돋아남)	そう 草原（そうげん）ー초원 草原にすむ野生動物（そうげんにすむやせいどうぶつ）ー초원에 사는 야생 동물 草創（そうそう）ー초창 草創期（そうそうき）ー초창기 雑草（ざっそう）ー잡초 水草（すいそう）ー수초 草案（そうあん）ー초안 憲法の草案（けんぽうのそうあん）ー헌법의 초안 草食（そうしょく）ー초식 草食動物（そうしょくどうぶつ）ー초식 동물	くさ 草（くさ）ー풀 仕草（しぐさ）ー동작, 행위 草色（くさいろ）ー초록빛 草花（くさばな）ー화초	이를 조(早) / 풀 초(草)
曾	거듭 증(밭(田) 여덟(八)개를 가지고있으니 날(日) 갈수록 일이 거듭 증가)	そう 曾祖父（そうそふ）ー증조부 曾孫（そうそん）ー증손 ぞ 未曾有（みぞう）ー미증유 (역사상 처음)		거듭 증(曾) / 중 승(僧) / 더할 증(増) / 미울 증(憎) / 줄 증(贈) / 층 층(層)
僧	중 승(사람(亻)이 거듭(曾) 싫어서 스님 중)   (거듭 증(曾) : 밭(田) 여덟(八)개를 가지고있으니 날(日) 갈수록 일이 거듭 증가)	そう 僧（そう）ー승려, 중  破戒僧（はかいそう）ー파계승 僧帽筋（そうぼうきん）ー승모근 僧侶（そうりょ）ー승려 高僧（こうそう）ー고승, 대사		거듭 증(曾) / 중 승(僧) / 더할 증(増) / 미울 증(憎) / 줄 증(贈) / 층 층(層)
増	더할 증(땅(土)가 거듭(曾)될수록 세금은 더해짐)   (거듭 증(曾) : 밭(田) 여덟(八)개를 가지고있으니 날(日) 갈수록 일이 거듭 증가)	ぞう 増加（ぞうか）ー증가 増加率（ぞうかりつ）ー증가율 増減（ぞうげん）ー증감 増大（ぞうだい）ー증대 増進（ぞうしん）ー증진 増強（ぞうきょう）ー증강 増強現実（ぞうきょうげんじつ）ー증강 현실 急増（きゅうぞう）ー급증 増幅（ぞうふく）ー증폭 増殖（ぞうしょく）ー증식 激増（げきぞう）ー격증 増築（ぞうちく）ー증축 増援（ぞうえん）ー증원 増援部隊（ぞうえんぶたい）ー증원 부대 増員（ぞういん）ー증원 増額（ぞうがく）ー증액 増設（ぞうせつ）ー증설 逓増（ていぞう）ー체증 (점차 늚)	増す（ます）ー늘다 親密の度を増す（しんみつのどをます）ー친밀도를 높이다 増える（ふえる）ー늘다, 늘어나다 人口はますます増える（じんこうはますますふえる）ー인구는 점점 늘어난다 増やす（ふやす）ー늘리다, 불리다 動画の再生回数を増やす（どうがのさいせいかいすうをふやす）ー동영상 조회수를 늘리다	거듭 증(曾) / 중 승(僧) / 더할 증(増) / 미울 증(憎) / 줄 증(贈) / 층 층(層)
憎	미울 증(거듭(曾)되는 싫은 마음(忄))   (거듭 증(曾) : 밭(田) 여덟(八)개를 가지고있으니 날(日) 갈수록 일이 거듭 증가)	ぞう 憎悪（ぞうお）ー증오  同性愛者を狙った憎悪犯罪（どうせいあいしゃをねらったぞうおはんざい）ー동성애자를 노린 증오 범죄 愛憎（あいぞう）ー애증 愛憎は紙一重の差 （あいぞうはかみひとえのさ）ー사랑과 미움은 종이 한장 차이	憎む（にくむ）ー미워하다 訳もなく憎む（わけもなくにくむ）ー이유도 없이 미워하다 憎い（にくい）ー밉다 憎らしい（にくらしい）ー얄밉다 憎しみ（にくしみ）ー증오	거듭 증(曾) / 중 승(僧) / 더할 증(増) / 미울 증(憎) / 줄 증(贈) / 층 층(層)
贈	줄 증(빌린 돈(貝)의 이자를 거듭(曾)얹어 줌) (거듭 증(曾) : 밭(田) 여덟(八)개를 가지고있으니 날(日) 갈수록 일이 거듭 증가)	ぞう 寄贈（きぞう）ー기증 寄贈された美術品を公開する（きぞうされたびじゅつひんをこうかいする）ー기증받은 미술품을 공개하다 寄贈品（きぞうひん）ー기증품 贈与（ぞうよ）ー증여 贈与税（ぞうよぜい）ー증여세 贈賄（ぞうわい）ー뇌물을 줌 贈呈（ぞうてい）ー증정	贈る（おくる）ー보내다, 선물하다 結婚のお祝いを贈る（けっこんのおいわいをおくる）ー결혼 축하 선물을 보내다 贈り物（おくりもの）ー선물	거듭 증(曾) / 중 승(僧) / 더할 증(増) / 미울 증(憎) / 줄 증(贈) / 층 층(層)
層	층 층(시체 주검(尸)이 거듭(曾)쌓여 층을 이룸)   (거듭 증(曾) : 밭(田) 여덟(八)개를 가지고있으니 날(日) 갈수록 일이 거듭 증가)	そう 階層（かいそう）ー계층 高層（こうそう）ー고층 超高層（ちょうこうそう）ー초고층 低層（ていそう）ー저층 深層（しんそう）ー심층 深層構造（しんそうこうぞう）ー심층구조 断層（だんそう）ー단층		거듭 증(曾) / 중 승(僧) / 더할 증(増) / 미울 증(憎) / 줄 증(贈) / 층 층(層)
巨	클 거	きょ 巨大（きょだい）ー거대 巨大な資本（きょだいなしほん）ー거대한 자본 巨匠（きょしょう）ー거장 巨匠の死を悼む（きょしょうのしをいたむ）ー거장의 죽음을 슬퍼하다 巨人（きょじん）ー거인 巨額（きょがく）ー거액		클 거(巨) / 막을 거(拒) / 떨어질 거(距)
拒	막을 거(손(扌)으로 큰(巨) 공격을 막음)	きょ 拒否（きょひ）ー거부 特定番号に対する着信拒否設定をする（とくていばんごうにたいするちゃくしんきょひせっていをする）ー특정 번호에 대한 수신 거부 설정을 하다 拒否反応（きょひはんのう）ー거부 반응 拒食症（きょしょくしょう）ー거식증 拒否権（きょひけん）ー거부권 拒絶（きょぜつ）ー거절, 거부	拒む（こばむ）ー거부하다, 저지하다 (코(こ)와 발(ば)을 물(む)어 거부함) 申し出を拒む（もうしでをこばむ）ー제의를 거부하다	클 거(巨) / 막을 거(拒) / 떨어질 거(距)
距	떨어질 거(발(足) 크게(巨)떨어짐)	きょ 距離（きょり）ー거리 車間距離を十分に取る（しゃかんきょりをじゅうぶんにとる）ー차간 거리를 충분히 두다		클 거(巨) / 막을 거(拒) / 떨어질 거(距)
隔	사이 뜰 격(언덕(阝)에서 사이를 두고 막음(鬲)) (막을격(鬲) : 하나(一)뿐인 입구(口)를 막기위해 성(冂)안 병사(儿)가 성문아래(丅) 모임)	かく 間隔（かんかく）ー간격 安全な車間間隔を取る（あんぜんなしゃかんかんかくをとる）ー안전한 차간 간격을 두다 隔離（かくり）ー격리 隔離室（かくりしつ）ー격리실 隔離病棟（かくりびょうとう）ー격리 병동 遠隔（えんかく）ー원격 遠隔操作（えんかくそうさ）ー원격 조작 遠隔制御（えんかくせいぎょ）ー원격 제어 隔壁（かくへき）ー격벽 横隔膜（おうかくまく）ー횡경막 横隔膜呼吸（おうかくまくこきゅう）ー횡경막 호흡	隔てる（へだてる）ー거리를 두다 気にいらぬ者を隔てる（きにいらぬものをへだてる）ー마음에 안드는 녀석을 멀리하다 隔て（へだて）ー칸막이 隔たる（へだたる）ー사이가 떨어지다 実力が隔たる（じつりょくがへだたる）ー실력차가 생기다 隔たり（へだたり）ー격차, 거리	막을격(鬲) / 사이 뜰 격(隔) / 녹을 융(融)
融	녹을 융(벌레(虫)를 막는(鬲) 최적의 방법은 녹이는것)  (막을 격(鬲) : 하나(一)뿐인 입구(口)를 막기위해 성(冂)안 병사(儿)가 성문아래(丅) 모임)	ゆう 融資（ゆうし）ー융자 (자금 융통) 融和（ゆうわ）ー융화 金融（きんゆう）ー금융 流動性の高い金融商品（りゅうどうせいのたかいきんゆうしょうひん）ー유동성이 높은 금융 상품 融通（ゆうずう）ー융통 融通性（ゆうずうせい）ー융통성 あの人は融通性がきかない（あのひとはゆうずうせいがきかない）ー저사람은 융통성이 없다 融合（ゆうごう）ー융합 核融合（かくゆうごう）ー핵융합 融解（ゆうかい）ー융해		막을격(鬲) / 사이 뜰 격(隔) / 녹을 융(融)
堅	굳을 견(어진신하(臤)는 땅(土)처럼 입지가 굳음) (어질 현(臤) : 내오른팔(又)로 두고싶은 어진 신하(臣))	けん 堅固（けんご）ー견고 基盤が堅固だ（きばんがけんごだ）ー기반이 탄탄하다 堅固な城（けんごなしろ）ー견고한 성 堅実（けんじつ）ー견실 中堅（ちゅうけん）ー중견 中堅企業（ちゅうけんきぎょう）ー중견 기업 肩甲（けんこう）ー견갑 肩甲骨（けんこうこつ）ー견갑골	堅い（かたい）ー단단하다, 굳다 敵の防御は堅い（てきのぼうぎょはかたい）ー적의 방어는 단단하다	어질 현(臤) / 어질 현(賢) / 굳을 견(堅) / 긴할 긴(緊) / 콩팥 신(腎)
緊	긴할 긴(어진 신하(臤)의 인맥(糸)이 긴하다) (어질 현(臤) : 내오른팔(又)로 두고싶은 어진 신하(臣))	きん 緊張（きんちょう）ー긴장 緊張のあまり吃る（きんちょうのあまりどもる）ー너무 긴장한 나머지 말을 더듬다  緊張感（きんちょうかん）ー긴장감 緊急（きんきゅう）ー긴급 緊急事態（きんきゅうじたい）ー긴급 사태 緊急措置（きんきゅうそち）ー긴급 조치 緊急逮捕（きんきゅうたいほ）ー긴급 체포 緊急避難（きんきゅうひなん）ー긴급 피난 緊迫（きんぱく）ー긴박 緊密（きんみつ）ー긴밀 緊密な関係（きんみつなかんけい）ー긴밀한 관계		어질 현(臤) / 어질 현(賢) / 굳을 견(堅) / 긴할 긴(緊) / 콩팥 신(腎)
腎	콩팥 신(똑똑하게((臤) 2개나 있는 장기(月)) (어질 현(臤) : 내오른팔(又)로 두고싶은 어진 신하(臣))	じん 腎臓（じんぞう）ー신장 腎臓の機能が弱い（じんぞうのきのうがよわい）ー신장기능이 약하다 腎臓炎（じんぞうえん）ー신장염 肝腎（かんじん）ー가장 중요함		어질 현(臤) / 어질 현(賢) / 굳을 견(堅) / 긴할 긴(緊) / 콩팥 신(腎)
賢	어질 현(어진(臤) 신하는 돈(貝)도 어질게 관리) (어질 현(臤) : 내오른팔(又)로 두고싶은 어진 신하(臣))	けん 賢明（けんめい）ー현명 賢明な対処（けんめいなたいしょ）ー현명한 대처 賢者（けんじゃ）ー현자 賢者の石（けんじゃのいし）ー현자의 돌 良妻賢母（りょうさいけんぼ）ー현모양처	賢い（かしこい）ー영리하다, 현명하다 賢い人と結婚したい（かしこいひととけっこんしたい）ー현명한 사람과 결혼하고 싶다	어질 현(臤) / 어질 현(賢) / 굳을 견(堅) / 긴할 긴(緊) / 콩팥 신(腎)
軽	가벼울 경(수레(車) 가벼워 오른손(又)으로 땅(土)에서 가지고놈)	けい 軽快（けいかい）ー경쾌 軽快な動作（けいかいなどうさ）ー경쾌한 동작 軽減（けいげん）ー경감 食器洗い機で家事負担を軽減する（しょっきあらいきでかじふだんをけいげんする）ー식기세척기 사용으로 가사 부담을 줄이다  軽率（けいそつ）ー경솔 軽蔑（けいべつ）ー경멸 軽傷（けいしょう）ー경상 軽微（けいび）ー경미 軽微 な損害（けいびなそんがい）ー경미한 손해 軽量（けいりょう）ー경량 軽量貨物（けいりょうかもつ）ー경량 화물 軽視（けいし）ー경시 軽薄（けいはく）ー경박 軽犯罪（けいはんざい）ー경범죄	軽い（かるい）ー가볍다 気軽（きがる）ー가볍게 행동함 好きな人へ気軽に連絡する（すきなひとへきがるにれんらくする）ー좋아하는 사람에게 부담 없이 연락하다 手軽（てがる）ー손 쉬움 軽やか（かろやか）ー가뿐하다, 경쾌하다	물줄기 경(圣) / 줄기 경(茎) / 지날 경(経) / 괴이할 괴(怪) / 가벼울 경(軽) / 지름길 경(径)
怪	괴이할 괴(짐승처럼 손(又)을 땅(土)에 짚고 다니는 괴이한 원혼(忄))	かい 怪獣（かいじゅう）ー괴수 怪談（かいだん）ー괴담 怪奇（かいき）ー괴기 怪物（かいぶつ）ー괴물 妖怪（ようかい）ー요괴 怪盗（かいとう）ー괴도 怪力（かいりき）ー괴력 怪力を発揮する（かいりきをはっきする）ー괴력을 발휘하다	怪しい（あやしい）ー괴상하다, 수상하다 前前から怪しいと思っていた（まえまえからあやしいとおもっていた）ー이전부터 수상하다고 생각하고있었다 怪しむ（あやしむ）ー이상히 여기다 人を信じて怪しまない（ひとをしんじてあやしまない）ー사람을 믿어 의심치 않다	물줄기 경(圣) / 줄기 경(茎) / 지날 경(経) / 괴이할 괴(怪) / 가벼울 경(軽) / 지름길 경(径)
径	지름길 경(오른손(又)으로 가르키고 가는(彳) 땅(土) = 지름길)	けい 長径（ちょっけい）ー직경 口径（こうけい）ー구경 半径（はんけい）ー반경 行動半径（こうどうはんけい）ー행동반경 経路（けいろ）ー경로 入手の経路を探る（にゅうしゅのけいろをさぐる）ー입수하게 된 경로를 알아보다 感染経路（かんせんけいろ）ー감염경로 外径（がいけい）ー외경 内径（ないけい）ー내경		물줄기 경(圣) / 줄기 경(茎) / 지날 경(経) / 괴이할 괴(怪) / 가벼울 경(軽) / 지름길 경(径)
経	지날 경(실(糸)처럼 긴 역사의 땅(土)를 손(又)으로 겪으며 지남)	けい 経済（けいざい）ー경제 経歴（けいれき）ー경력 経歴を偽る（けいれきをいつわる）ー경력을 속이다 経験（けいけん）ー경험 未経験（みけいけん）ー미경험 経営（けいえい）ー경영 神経（しんけい）ー신경 運動神経（うんどうしんけい）ー운동신경 無神経（むしんけい）ー무신경 神経質（しんけいしつ）ー신경질 経過（けいか）ー경과 経費（けいひ）ー경비 経路（けいろ）ー경로 経緯（けいい）ー경위 きょう 経典（きょうてん）ー경전 経文（きょうもん）ー경문	経る（へる）ー지나가다, 경과하다 いくつもの工程を経る（いくつものこうていをへる）ー몇개의 공정을 거치다	물줄기 경(圣) / 줄기 경(茎) / 지날 경(経) / 괴이할 괴(怪) / 가벼울 경(軽) / 지름길 경(径)
茎	줄기 경(손(又)으로 당기면 땅(土)까지 닿는 풀(艹) 줄기)	けい 根茎（こんけい）ー뿌리줄기 (근경) 陰茎（いんけい）ー음경	くき 茎（くき）ー줄기 歯茎（はぐき）ー잇몸 花の茎が育つ（はなのくきがそだつ）ー꽃줄기가 자라다	물줄기 경(圣) / 줄기 경(茎) / 지날 경(経) / 괴이할 괴(怪) / 가벼울 경(軽) / 지름길 경(径)
固	굳을 고(예(古)로부터 전해온 성벽(口)은 튼튼하고 굳건함)	こ 固有（こゆう）ー고유 固有性質（こゆうせいしつ）ー고유 성질 固体（こたい）ー고체 固体燃料（こたいねんりょう）ー고체연료 頑固（がんこ）ー완고 頑固すぎる（がんこすぎる）ー고집이 세다 固着（こちゃく）ー고착 凝固（ぎょうこ）ー응고 凝固点（ぎょうこてん）ー응고점  固定（こてい）ー고정  固定観念（こていかんねん）ー고정 관념 固執（こしつ）ー고집 堅固（けんご）ー견고 堅固な城（けんごなしろ）ー견고한 성	固い（かたい）ー단단하다 彼は高慢で頭が固い（かれはこうまんであたまがかたい）ー그는 건방지고 융통성이 없다 固まる（かたまる）ー굳다, 확고해지다 セメントは早く固まる（セメントははやくかたまる）ー시멘트는 빨리 굳어진다 固める（かためる）ー다지다, 굳히다 ゼリーを冷蔵庫で冷やして固める（ゼリーをれいぞうこでひやしてかためる）ー젤리를 냉장고에서 식혀서 굳히다	굳을 고(固) / 낱 개(個) / 낱 개(箇) / 가둘 고(錮)
個	낱 개(성격이 굳은(固) 사람(亻) 낱개 마냥 혼자임) (굳을 고(固) : 예(古)로부터 전해온 성벽(口)은 튼튼하고 굳건함)	こ 個人（こじん）ー개인 個性（こせい）ー개성 個性尊重（こせいそんちょう）ー개성존중 個性豊かだ（こせいゆたかだ）ー개성이 넘치다 個別（こべつ）ー개별 (하나하나) 個別化（こべつか）ー개별화 個体（こたい）ー고체 個体原料（こたいげんりょう）ー고체원료		굳을 고(固) / 낱 개(個) / 낱 개(箇) / 가둘 고(錮)
箇	낱 개(굳어진(固) 대나무(𥫗)의 성질) (굳을 고(固) : 예(古)로부터 전해온 성벽(口)은 튼튼하고 굳건함)	か 箇所（かしょ）ー개소 間違いが三箇所ある（まちがいがさんかしょある）ー잘못이 세군대 있다 破損箇所（はそんかしょ）ー파손 개소 箇条（かじょう）ー조항 (개조) 箇条書き（かじょうがき）ー조목별로 씀		굳을 고(固) / 낱 개(個) / 낱 개(箇) / 가둘 고(錮)
錮	가둘 고(단단한(固) 쇠(金)로 된 방에 가둠) (굳을 고(固) : 예(古)로부터 전해온 성벽(口)은 튼튼하고 굳건함)	こ 禁錮（きんこ）ー금고 (방에가둠) 被告に5年の禁固を求刑する（ひこくにごねんのきんこをきゅうけいする）ー피고에게 금고 5년을 구형하다		굳을 고(固) / 낱 개(個) / 낱 개(箇) / 가둘 고(錮)
空	빌 공(구멍(穴)을 도구(工)오 파면 속이 빔)	くう 空気（くうき）ー공기 空気圧縮機（くうきあっしゅくき）ー공기 압축기 空港（くうこう）ー공항 航空（こうくう）ー항공 航空券（こうくうけん）ー항공권 航空便（こうくうびん）ー항공편 空席（くうせき）ー공석 真空（しんくう）ー진공 架空（かくう）ー가공 (공중에 걸침) 空想（くうそう）ー공상 空中（くうちゅう）ー공중 空腹（くうふく）ー공복 空腹状態（くうふくじょうたい）ー공복상태 空白（くうはく）ー공백 空白期間（くうはくきかん）ー공백 기간 空虚（くうきょ）ー공허 虚空（こくう）ー허공 空間（くうかん）ー공간 時空間（じくうかん）ー시공 防空壕（ぼうくうごう）ー방공호 空欄（くうらん）ー공란	空く（あく）ー비다 席が空く（せきがあく）ー자리가 비다 空ける（あける）ー비우다 二人の間隔を空ける（ふたりのかんかくをあける）ー사람의 간격을 띄우다 そら 空（そら）ー하늘 青空（あおぞら）ー푸른 하늘 空々しい（そらぞらしい）ー시치미 떼다 から 空っぽ（からっぽ）ー텅 빔 空手（からて）ー가라데 空足（からあし）ー헛걸음 空えずき（からえずき）ー헛구역질 空威張り（からいばり）ー허세	구멍 혈(穴) / 빌 공(空) / 당길 공(控) / 연구할 구(究) / 갑자기 돌(突) / 막힐 질(窒) / 가마 요(窯) / 다할(궁할) 궁(窮) / 짤 착(搾)
控	당길 공(손(扌)으로 흙을 당겨 모아 빈(空)구멍을 메움)	こう 控除（こうじょ）ー공제 税額控除（ぜいがくこうじょ）ー세액 공제 基礎控除の適用を受ける（きそこうじょのてきようをうける）ー기초 공제 적용을 받다 控訴（こうそ）ー공소, 항소	控える（ひかえる）ー대기하다, 삼가다, 메모하다, 목전에두다 総選挙を間近に控える（そうせんきょをまぢかにひかえる）ー총선거를 바로 눈앞에 두다 控室（ひかえしつ）ー대기실 (공실)	구멍 혈(穴) / 빌 공(空) / 당길 공(控) / 연구할 구(究) / 갑자기 돌(突) / 막힐 질(窒) / 가마 요(窯) / 다할(궁할) 궁(窮) / 짤 착(搾)
搾	짤 착(잠깐(乍) 구멍(穴)이 날정도로 손(扌)으로 짬)	さく 搾取（さくしゅ）ー착취 労働者を搾取する（ろうどうしゃをさくしゅする）ー노동자를 착취하다 やりがい搾取（やりがいさくしゅ）ー열정페이 搾汁（さくじゅう）ー착즙 搾汁器（さくじゅうき）ー착즙기 圧搾（あっさく）ー압착 圧搾乾燥（あっさくかんそう）ー압착건조	搾る（しぼる）ー짜다 総身の力を振り搾る（そうしんのちからをふりしぼる）ー전신의 힘을 다 짜내다	구멍 혈(穴) / 빌 공(空) / 당길 공(控) / 연구할 구(究) / 갑자기 돌(突) / 막힐 질(窒) / 가마 요(窯) / 다할(궁할) 궁(窮) / 짤 착(搾)
広	넓을 광(나(厶)혼자 집(广)에 있으니 넓다)	こう 広告（こうこく）ー광고 求職広告をする（きゅうしょくこうこくをする）ー구직 광고를내다 誇大広告（こだいこうこく）ー과대 광고 広域（こういき）ー광역 広範（こうはん）ー광범 広範囲（こうはんい）ー광범위 広報（こうほう）ー홍보 (광보) 広大（こうだい）ー광대	広い（ひろい）ー넓다 広場（ひろば）ー광장 広まる（ひろまる）ー넓어지다 根なしのうわさが広まる（ねなしのうわさがひろまる）ー근거 없는 소문이 나돌다 広める（ひろめる）ー넓히다 広げる（ひろげる）ー넓히다 広がる（ひろがろ）ー넓어지다	넓을 광(広) / 넓힐 확(拡) / 광물 광(鉱)
拡	넓힐 확(손(扌)으로 잡고 확 넓힘(広)) (넓을 광(広) : 나(厶)혼자 집(广)에 있으니 넓다)	かく 拡大（かくだい）ー확대 海外事業への投資を拡大する（かいがいじぎょうへのとうしをかくだいする）ー해외 사업에 대한 투자를 확대하다  拡大解釈（かくだいかいしゃく）ー확대 해석 拡充（かくじゅう）ー확충 拡張（かくちょう）ー확장 拡散（かくさん）ー확산 拡声器（かくせいき）ー확성기		넓을 광(広) / 넓힐 확(拡) / 광물 광(鉱)
鉱	광물 광(넓은(広)땅에 묻힌 금(金) 광물) (넓을 광(広) : 나(厶)혼자 집(广)에 있으니 넓다)	こう 鉱物（こうぶつ）ー광물 鉱物資源（こうぶつしげん）ー광물자원 炭鉱（たんこう）ー탄광 鉱山（こうざん）ー광산 鉱業（こうぎょう）ー광업 鉄鉱（てっこう）ー철광 金鉱（きんこう）ー금광 銀鉱（ぎんこう）ー은광 採鉱（さいこう）ー채광		넓을 광(広) / 넓힐 확(拡) / 광물 광(鉱)
奇	기이할 기(너무 크고(大) 기이해서 허락(可) 해버림)	き 奇跡（きせき）ー기적 奇跡が起こる（きせきがおこる）ー기적이 일어나다 奇数（きすう）ー홀수 (기수) 好奇心（こうきしん）ー호기심 奇抜（きばつ）ー기발 奇怪（きかい）ー기괴 怪奇（かいき）ー괴기 奇妙（きみょう）ー기묘 奇想天外（きそうてんがい）ー기상천외		기이할 기(奇) / 부칠 기(寄) / 험할 기(埼) / 험할 기(崎) / 의자 의(椅) / 말 탈 기(騎)
埼	험할 기(기이하게(奇) 솟은 땅(土)은 험함) (기이할 기(奇) : 너무 크고(大) 기이해서 허락(可) 해버림)	さい 埼玉（さいたま）ー사이타마 (기옥)		기이할 기(奇) / 부칠 기(寄) / 험할 기(埼) / 험할 기(崎) / 의자 의(椅) / 말 탈 기(騎)
